AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Compartiment.Code;Compartiment.Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving
78;Massafractie europium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Eu;europium
79;Massafractie fenantreen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Fen;fenantreen
80;Massafractie fluoreen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Fle;fluoreen
81;Massafractie fluorantheen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Flu;fluorantheen
82;Massafractie gallium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ga;gallium
83;Massafractie gadolinium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Gd;gadolinium
84;Massafractie germanium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ge;germanium
85;Massafractie kwik in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Hg;kwik
86;Massafractie holmium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Ho;holmium
87;Massafractie indeno(1,2,3-cd)pyreen in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;InP;indeno(1,2,3-cd)pyreen
88;Massafractie kalium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;K;kalium
89;Massafractie lanthaan in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;La;lanthaan
90;Massafractie lithium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Li;lithium
91;Massafractie lutetium in Bodem/Sediment t.o.v. drooggewicht in mg/kg;BS;Bodem/Sediment;mg/kg;milligram per kilogram;MASSFTE;Massafractie;dg;t.o.v. drooggewicht;Lu;lutetium
