"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd";"Guid"
4788;"61665-19-8";"TC1yC5e";"tetramethylpenteen";"ChemischeStof";"2011-06-08";"2019-12-28";"Vervallen";"";"Id-4394aa26-6175-49ed-803c-c7a00e7d26f8"
4788;"61665-19-8";"TC1yC5e";"tetramethylpenteen >> ID2019";"ChemischeStof";"2019-12-29";"2019-12-30";"Vervallen";"";"Id-3ea060ce-a7c7-4a6f-9044-f2e84d436762"
4789;"593-81-7";"TC1yNH4Cl";"trimethylammoniumchloride";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-468ce609-876a-49b0-8702-f4149f7bb723"
479;"1967-16-4";"Clbfm";"chloorbufam";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-80169ef2-db92-4a7b-a943-78aa07e25310"
4790;"512-56-1";"TC1yPO4";"trimethylfosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-77439732-2120-4c90-a82f-591f1dafe097"
4791;"NVT";"TC1ytoSO4";"trimethylthiosulfaat";"ChemischeStof";"2011-06-08";"2011-08-26";"Vervallen";"";"Id-5e056675-14cb-45e4-82ce-2f8f1609ca3d"
4791;"152-18-1";"TC1ytoPO4";"trimethylthiofosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-a4887f8a-ad4e-45ac-babc-947dd2afbefd"
4792;"57213-69-1";"TC2yAeTcpr";"triethylamine-triclopyr";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-1b2e0e50-393e-48fb-bcfb-37d74416cda3"
4793;"77-93-0";"TC2ycitt";"triethylcitraat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-c58774ef-1217-473b-baae-f264799969a7"
4794;"112-24-3";"TC2yeT4Ae";"triethyleentetramine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-e6afcd38-1140-4793-a58c-2471814c9a8b"
4795;"77-90-7";"TC4yactcitt";"tributylacetylcitraat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-a9d41b09-2952-4c32-9082-65fe909aabfa"
4796;"56-36-0";"TC4ySnactt";"tributyltinacetaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-1bcaa79d-6cc4-49c8-9065-617117321b96"
4797;"78-48-8";"TC4yTtoPO4";"tributyltrithiofosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-743a9413-1654-4f3e-9888-63d15a198d92"
4798;"25103-12-2";"TC8yPO4";"trioctylfosfaat";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-74083083-d54e-4297-8f96-d58988d1e6a1"
4799;"869-59-0";"TC8ySn";"trioctyltin (kation)";"ChemischeStof";"2012-05-02";"2100-01-01";"Geldig";"";"Id-fd7da752-7d24-4939-b552-f12a6305bb9f"
48;"142-28-9";"13DClC3a";"1,3-dichloorpropaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-c3e5cafc-26c0-4909-8eea-ac0bcaca7e83"
480;"NVT";"sCldn";"som chloordaan (som cis- en trans-)";"ChemischeStof";"2011-06-08";"2011-06-08";"Vervallen";"";"Id-3a909ae0-93b9-4947-aa68-eea18b32c4e4"
480;"NVT";"sCldn";"som chloordaan (som cis- en trans-)";"ChemischeStof";"2011-06-09";"2100-01-01";"Geldig";"";"Id-d54acb0b-c4d3-4533-ac54-7b05dc42b389"
4800;"14808-44-7";"Tc96";"technetium 96";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-ea6354e4-f169-4ac8-be81-7c76f9ab108e"
4801;"15759-35-0";"Tc97";"technetium 97";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-2b4fd30a-09ad-4bb9-8ca8-5977ec5e04c5"
