speciesname_original;modified;speciesname_corrected;identificationQualifier;author;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation
Kolkwitziellaceae;exact;Kolkwitziellaceae;;;109430;exact;urn:lsid:marinespecies.org:taxname:109430;573290;Kolkwitziellaceae;;Checked by Taxonomic Editor;accepted;109430;Kolkwitziellaceae;;Chromista;Myzozoa;Dinophyceae;Peridiniales;Kolkwitziellaceae;;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Kolkwitziellaceae. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109430 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Melosira nummuloides;exact;Melosira nummuloides;;;149044;exact;urn:lsid:marinespecies.org:taxname:149044;2294;Melosira nummuloides;C.Agardh, 1824;Edited by Database Management Team;alternate representation;635472;Melosira discigera;Agardh, 1824;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Melosiraceae;Melosira;;nummuloides;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Melosira nummuloides C.Agardh, 1824. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149044 on 2020-06-11;;
Microcystis;exact;Microcystis;;;146557;exact;urn:lsid:marinespecies.org:taxname:146557;747;Microcystis;Lemmermann, 1907;Checked by Taxonomic Editor;accepted;146557;Microcystis;Lemmermann, 1907;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Microcystaceae;Microcystis;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Microcystis Lemmermann, 1907. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146557 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Navicula;exact;Navicula;;;149142;exact;urn:lsid:marinespecies.org:taxname:149142;3649;Navicula;J.B.M. Bory de Saint-Vincent, 1822;Checked by Taxonomic Editor;accepted;149142;Navicula;J.B.M. Bory de Saint-Vincent, 1822;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;;;;1;1;1;1;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Navicula J.B.M. Bory de Saint-Vincent, 1822. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149142 on 2020-06-11;;
Nitzschia;exact;Nitzschia;;;149045;exact;urn:lsid:marinespecies.org:taxname:149045;5070;Nitzschia;A.H. Hassall, 1845;Checked by Taxonomic Editor;accepted;149045;Nitzschia;A.H. Hassall, 1845;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;;;;1;1;1;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Nitzschia A.H. Hassall, 1845. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149045 on 2020-06-11;;
Odontella obtusa;exact;Odontella obtusa;;;149662;exact;urn:lsid:marinespecies.org:taxname:149662;610129;Odontella obtusa;Kützing, 1844;Edited by Database Management Team;uncertain;149662;Odontella obtusa;Kützing, 1844;Chromista;Ochrophyta;Bacillariophyceae;Triceratiales;Triceratiaceae;Odontella;;obtusa;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Odontella obtusa Kützing, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149662 on 2020-06-11;;
Pleurosigma normanii;exact;Pleurosigma normanii;;;149182;exact;urn:lsid:marinespecies.org:taxname:149182;4603;Pleurosigma normanii;Ralfs, 1861;Edited by Database Management Team;accepted;149182;Pleurosigma normanii;Ralfs, 1861;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Pleurosigma;;normanii;;1;;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Pleurosigma normanii Ralfs, 1861. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149182 on 2020-06-11;;
Rhizosolenia imbricata;exact;Rhizosolenia imbricata;;;149116;exact;urn:lsid:marinespecies.org:taxname:149116;2897;Rhizosolenia imbricata;Brightwell, 1858;Edited by Database Management Team;accepted;149116;Rhizosolenia imbricata;Brightwell, 1858;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;imbricata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhizosolenia imbricata Brightwell, 1858. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149116 on 2020-06-11;;
Stephanopyxis turris;exact;Stephanopyxis turris;;;149631;exact;urn:lsid:marinespecies.org:taxname:149631;2374;Stephanopyxis turris;(Greville) Ralfs, 1861;Edited by Database Management Team;accepted;149631;Stephanopyxis turris;(Greville) Ralfs, 1861;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;;turris;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Stephanopyxis turris (Greville) Ralfs, 1861. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149631 on 2020-06-11;;
Thalassiothrix longissima;exact;Thalassiothrix longissima;;;157083;exact;urn:lsid:marinespecies.org:taxname:157083;3134;Thalassiothrix longissima;Cleve & Grunow, 1880;Edited by Database Management Team;uncertain;157083;Thalassiothrix longissima;Cleve & Grunow, 1880;Chromista;Ochrophyta;Bacillariophyceae;Thalassionematales;Thalassionemataceae;Thalassiothrix;;longissima;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Thalassiothrix longissima Cleve & Grunow, 1880. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=157083 on 2020-06-11;;
Coscinodiscus perforatus var. pavillardii;exact;Coscinodiscus perforatus var. pavillardii;var. pavillardii;(Forti) Hustedt 1928;179616;exact;urn:lsid:marinespecies.org:taxname:179616;;Coscinodiscus perforatus var. pavillardii;(Forti) Hust., 1928;Added by Database Management Team;accepted;179616;Coscinodiscus perforatus var. pavillardii;(Forti) Hust., 1928;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;;perforatus;;;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Coscinodiscus perforatus var. pavillardii (Forti) Hust., 1928. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=179616 on 2020-06-11;;
Rhizosolenia hebetata f. hebetata;exact;Rhizosolenia hebetata f. hebetata;f. hebetata;Bailey 1856;163347;exact;urn:lsid:marinespecies.org:taxname:163347;;Rhizosolenia hebetata f. hebetata;J.W. Bailey, 1856;Added by Database Management Team;uncertain;163347;Rhizosolenia hebetata f. hebetata;J.W. Bailey, 1856;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;hebetata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhizosolenia hebetata f. hebetata J.W. Bailey, 1856. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=163347 on 2020-06-11;;
Rhizosolenia hebetata f. semispina;exact;Rhizosolenia hebetata f. semispina;f. semispina;(Hensen) Gran in Brandt et Apstein 1905;149071;exact;urn:lsid:marinespecies.org:taxname:149071;2895;Rhizosolenia hebetata f. semispina;(Hensen) Gran, 1908;Edited by Database Management Team;alternate representation;163348;Rhizosolenia semispina;Hensen, 1887;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;hebetata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Rhizosolenia hebetata f. semispina (Hensen) Gran, 1908. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149071 on 2020-06-11;;
Tripos macroceros;exact;Tripos macroceros;;(Ehrenberg) F.Gomez, 2013;841260;exact;urn:lsid:marinespecies.org:taxname:841260;;Tripos macroceros;(Ehrenberg) F.Gómez, 2013;Checked by Taxonomic Editor;accepted;841260;Tripos macroceros;(Ehrenberg) F.Gómez, 2013;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Ceratiaceae;Tripos;;macroceros;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Tripos macroceros (Ehrenberg) F.Gómez, 2013. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=841260 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Pseudo-nitzschia seriata f. obtusa;exact;Pseudo-nitzschia seriata f. obtusa;f. obtusa;(Hasle) Hasle 1993;175750;exact;urn:lsid:marinespecies.org:taxname:175750;;Pseudo-nitzschia seriata f. obtusa;(Hasle) Hasle, 1993;Edited by Database Management Team;alternate representation;175752;Nitzschia seriata f. obtusa;Hasle, 1965;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;;seriata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Pseudo-nitzschia seriata f. obtusa (Hasle) Hasle, 1993. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=175750 on 2020-06-11;;
Pseudo-nitzschia seriata f. seriata;exact;Pseudo-nitzschia seriata f. seriata;f. seriata;(Cleve) Peragallo in Peragallo et Peragallo 1900;175749;exact;urn:lsid:marinespecies.org:taxname:175749;;Pseudo-nitzschia seriata f. seriata;;Checked by Taxonomic Editor;unaccepted;149152;Pseudo-nitzschia seriata;(Cleve) H.Peragallo, 1899;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;;seriata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Pseudo-nitzschia seriata f. seriata. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=175749 on 2020-06-11;;
Pachysphaera;exact;Halosphaeraceae;;;21004;exact;urn:lsid:marinespecies.org:taxname:21004;9595;Halosphaeraceae;Haeckel, 1894;Checked by Taxonomic Editor;accepted;21004;Halosphaeraceae;Haeckel, 1894;Plantae;Chlorophyta;Chlorodendrophyceae;Chlorodendrales;Halosphaeraceae;;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Halosphaeraceae Haeckel, 1894. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=21004 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Asteroplanus kariana;exact;Asteroplanus karianus;;;251745;exact;urn:lsid:marinespecies.org:taxname:251745;;Asteroplanus karianus;(Grunow) C.Gardner & R.M.Crawford, 1997;Edited by Database Management Team;alternate representation;148956;Asterionella kariana;Grunow, 1880;Chromista;Ochrophyta;Bacillariophyceae;Fragilariales;Fragilariaceae;Asteroplanus;;karianus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Asteroplanus karianus (Grunow) C.Gardner & R.M.Crawford, 1997. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=251745 on 2020-06-11;;
Bicosoeca planktonica;exact;Bicosoeca planctonica;;;104003;exact;urn:lsid:marinespecies.org:taxname:104003;;Bicosoeca planctonica;Kisselev;Checked by Taxonomic Editor;accepted;104003;Bicosoeca planctonica;Kisselev;Chromista;Bigyra;Bicoecea;Bicoecida;Bicosoecaceae;Bicosoeca;;planctonica;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Bicosoeca planctonica Kisselev. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=104003 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Cyanophyta;exact;Cyanobacteria;;;146537;exact;urn:lsid:marinespecies.org:taxname:146537;;Cyanobacteria;Stanier ex Cavalier-Smith, 2002;Edited by Database Management Team;accepted;146537;Cyanobacteria;Stanier ex Cavalier-Smith, 2002;Bacteria;Cyanobacteria;;;;;;;;1;1;1;1;WoRMS (2020). Cyanobacteria. Accessed at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146537 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Haptophytina;exact;Haptophyta;;;369190;exact;urn:lsid:marinespecies.org:taxname:369190;2134;Haptophyta;D.J. Hibberd ex B. Edvardsen & W. Eikrem, 2000;Checked by Taxonomic Editor;accepted;369190;Haptophyta;D.J. Hibberd ex B. Edvardsen & W. Eikrem, 2000;Chromista;Haptophyta;;;;;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Haptophyta. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=369190 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Kofoidinium lebouriae;exact;Kofoidinium lebourae;;;233165;exact;urn:lsid:marinespecies.org:taxname:233165;;Kofoidinium lebourae;(Pavillard) F.J.R.Taylor, 1976;Edited by Database Management Team;accepted;233165;Kofoidinium lebourae;(Pavillard) F.J.R.Taylor, 1976;Chromista;Myzozoa;Dinophyceae;Noctilucales;Kofoidiniaceae;Kofoidinium;;lebourae;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Kofoidinium lebourae (Pavillard) F.J.R.Taylor, 1976. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=233165 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Pseudoschroederia antillara;exact;Pseudoschroederia antillarum;;;623440;exact;urn:lsid:marinespecies.org:taxname:623440;;Pseudoschroederia antillarum;(Komárek) Hegewald & Schnepf, 1986;Checked by Taxonomic Editor;accepted;623440;Pseudoschroederia antillarum;(Komárek) Hegewald & Schnepf, 1986;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Characiaceae;Pseudoschroederia;;antillarum;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Pseudoschroederia antillarum (Komárek) Hegewald & Schnepf, 1986. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=623440 on 2020-06-11;;;;;;;;;;;;;;;;;;;;;
Acanthoica quattrospina;exact;Acanthoica quattrospina;;;235802;exact;urn:lsid:marinespecies.org:taxname:235802;2190;Acanthoica quattrospina;Lohmann, 1903;Checked by Taxonomic Editor;accepted;235802;Acanthoica quattrospina;Lohmann, 1903;Chromista;Haptophyta;Prymnesiophyceae;Syracosphaerales;Rhabdosphaeraceae;Acanthoica;;quattrospina;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Acanthoica quattrospina Lohmann, 1903. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=235802 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Achnanthes longipes;exact;Achnanthes longipes;;;156533;exact;urn:lsid:marinespecies.org:taxname:156533;3435;Achnanthes longipes;C.Agardh, 1824;Edited by Database Management Team;accepted;156533;Achnanthes longipes;C.Agardh, 1824;Chromista;Ochrophyta;Bacillariophyceae;Achnanthales;Achnanthaceae;Achnanthes;;longipes;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Achnanthes longipes C.Agardh, 1824. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=156533 on 2020-06-10;;
Actinastrum;exact;Actinastrum;;;160542;exact;urn:lsid:marinespecies.org:taxname:160542;6098;Actinastrum;Lagerheim, 1882;Checked by Taxonomic Editor;accepted;160542;Actinastrum;Lagerheim, 1882;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Actinastrum;;;;;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Actinastrum Lagerheim, 1882. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160542 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Actinastrum hantzschii;exact;Actinastrum hantzschii;;;160543;exact;urn:lsid:marinespecies.org:taxname:160543;6099;Actinastrum hantzschii;Lagerheim, 1882;Checked by Taxonomic Editor;accepted;160543;Actinastrum hantzschii;Lagerheim, 1882;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Actinastrum;;hantzschii;;0;0;1;0;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Actinastrum hantzschii Lagerheim, 1882. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=160543 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Actiniscus pentasterias;exact;Actiniscus pentasterias;;;109717;exact;urn:lsid:marinespecies.org:taxname:109717;183972;Actiniscus pentasterias;(Ehrenberg) Ehrenberg, 1844;Checked by Taxonomic Editor;accepted;109717;Actiniscus pentasterias;(Ehrenberg) Ehrenberg, 1844;Chromista;Myzozoa;Dinophyceae;Actiniscales;Actiniscaceae;Actiniscus;;pentasterias;;1;;;;Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Actiniscus pentasterias (Ehrenberg) Ehrenberg, 1844. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=109717 on 2020-06-10;;;;;;;;;;;;;;;;;;;;;
Actinocyclus normanii;exact;Actinocyclus normanii;;;148945;exact;urn:lsid:marinespecies.org:taxname:148945;2661;Actinocyclus normanii;(Gregory) Hustedt, 1957;Edited by Database Management Team;accepted;148945;Actinocyclus normanii;(Gregory) Hustedt, 1957;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;;normanii;;1;0;1;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Actinocyclus normanii (Gregory) Hustedt, 1957. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148945 on 2020-06-10;;
